UserCountry3,random_intercept
AND,0.08749879708839856
SLV,0.07859090613984752
AFG,0.07089597611773103
MDG,0.07073726177034056
MNE,0.0682410575467716
IMN,0.06336040721848929
BRN,0.061097064126815454
LKA,0.06048540365081493
BIH,0.060385632452825085
LBN,0.04729787134702401
NIC,0.04388299955232556
MAC,0.03962530518597473
MLT,0.033602818334059606
REU,0.030330364190452323
MNG,0.030253358992741102
GEO,0.02962208423029955
EGY,0.029122454836030636
MCO,0.02763241797664941
JAM,0.026773230038276186
HKG,0.023789514384631182
NCL,0.023243757141538004
CHL,0.0226317505201826
HND,0.021813878150547913
KAZ,0.021211264908505653
MDV,0.020816102894269384
EST,0.019779236389097926
CYP,0.01937879152703993
BEL,0.018409500542650083
BLR,0.01790744351463744
CZE,0.01620671373665417
ESP,0.016171608286721133
FRA,0.014633859127736442
HUN,0.014534963749630021
CRI,0.014128657647255365
THA,0.013254642467381936
LTU,0.013180120437929129
NLD,0.013038392697666396
SVK,0.012904350999622545
CHE,0.01256502857197995
KWT,0.01206550989815632
KHM,0.01155558137935332
RUS,0.01144380519941871
AUT,0.010876843202782246
ARG,0.01009771888423863
TUN,0.009997810938889663
PHL,0.00806440015414133
DEU,0.007017835487992796
AZE,0.006940681640681096
FIN,0.005936712255182753
TWN,0.005563084215393983
BGR,0.005177487912700379
ISL,0.004998929195380272
UKR,0.004994951186628252
IDN,0.004807535304752233
ITA,0.0047491352203188
SYR,0.004496422576421238
ROU,0.004379503559176173
COL,0.00428651762692152
CAN,0.004008201368649414
ZAF,0.00372572617879412
MDA,0.0034114886041102196
DOM,0.003272009348128075
POL,0.0032706690751451283
KEN,0.002968213720224912
HRV,0.0016226693769500042
DNK,0.000785020714188076
ARE,0.0006316618928222731
CHN,0.0005601243162288377
ISR,0.0004506688798133305
GBR,0.00028002352751290235
MEX,-0.00043365846864340594
PRT,-0.0006741445291112806
URY,-0.0014817805582920086
JOR,-0.0018767389533370681
JPN,-0.0018857788460395594
NPL,-0.001929518530393156
SAU,-0.0022021065705764087
BGD,-0.002523136605381873
PYF,-0.0027271401131967396
USA,-0.002994727293606269
MYS,-0.0035812656055072174
LUX,-0.004053831785835386
DZA,-0.004783662652170627
SGP,-0.005492391229285347
MTQ,-0.005551605847806094
IRL,-0.0059063811660968945
NZL,-0.006010168941535792
SVN,-0.006098579509067934
SRB,-0.00654146276126229
AUS,-0.006885335341648326
NOR,-0.007960317026779639
PER,-0.00864600132761724
BRA,-0.008965862307393782
VNM,-0.008980795039507179
GRC,-0.009261600757398344
MAR,-0.009277905568001833
IRN,-0.010096788409573745
SWE,-0.012057136099744126
IRQ,-0.012983237558597285
LVA,-0.013299532093980581
KOR,-0.013825054509001485
VEN,-0.01464386972508372
MKD,-0.01755576784162286
PSE,-0.018604526746824532
TUR,-0.019902578740372254
MUS,-0.01998046619140561
KGZ,-0.020042323103714996
MMR,-0.0212294988612162
IND,-0.024270513218187056
PAK,-0.02697177701763146
JEY,-0.027099451194295462
OMN,-0.027405184290205734
BOL,-0.037416111412794446
PAN,-0.040467179473611455
PRY,-0.04306750020898476
GTM,-0.0435336948803079
ECU,-0.04452467470149984
PRI,-0.046655855027034086
ALB,-0.047657145039642704
AGO,-0.04797181559487522
BHS,-0.05047281896950396
ARM,-0.05108007909308148
BRB,-0.05520765364605233
TTO,-0.06052895748207992
UZB,-0.06055322153384407
QAT,-0.0655170105912091
GGY,-0.06842124912364689
BHR,-0.07328824162793102
NGA,-0.09660287541613966
GUM,-0.11181224446360216
